Sex,year,date,all_2534,HS_2534,SC_2534,BAp_2534,BAo_2534,GD_2534,White_2534,Black_2534,Hisp_2534,NE_2534,MA_2534,Midwest_2534,South_2534,Mountain_2534,Pacific_2534,poor_2534,mid_2534,rich_2534,all_3544,HS_3544,SC_3544,BAp_3544,BAo_3544,GD_3544,White_3544,Black_3544,Hisp_3544,NE_3544,MA_3544,Midwest_3544,South_3544,Mountain_3544,Pacific_3544,poor_3544,mid_3544,rich_3544,all_4554,HS_4554,SC_4554,BAp_4554,BAo_4554,GD_4554,White_4554,Black_4554,Hisp_4554,NE_4554,MA_4554,Midwest_4554,South_4554,Mountain_4554,Pacific_4554,poor_4554,mid_4554,rich_4554,work_2534,nowork_2534,work_HS_2534,work_SC_2534,work_BAp_2534,work_BAo_2534,work_GD_2534,nowork_HS_2534,nowork_SC_2534,nowork_BAp_2534,nowork_BAo_2534,nowork_GD_2534,work_White_2534,work_Black_2534,work_Hisp_2534,nowork_White_2534,nowork_Black_2534,nowork_Hisp_2534,work_poor_2534,work_mid_2534,work_rich_2534,nowork_poor_2534,nowork_mid_2534,nowork_rich_2534,nokids_all_2534,kids_all_2534,nokids_HS_2534,nokids_SC_2534,nokids_BAp_2534,nokids_BAo_2534,nokids_GD_2534,kids_HS_2534,kids_SC_2534,kids_BAp_2534,kids_BAo_2534,kids_GD_2534,nokids_poor_2534,nokids_mid_2534,nokids_rich_2534,kids_poor_2534,kids_mid_2534,kids_rich_2534
Women,1960,1/1/1960,0.085941741,0.075019975,0.114628113,0.288222222,0.288222222,,0.079577078,0.127277399,0.099211314,0.111162567,0.125385526,0.07508184,0.077119525,0.05816801,0.066751442,0.111279127,0.053045074,0.129191892,0.059351969,0.053008326,0.071230377,0.248391762,0.248391762,,0.05829575,0.069129949,0.057321853,0.087201915,0.085329406,0.054695587,0.050705705,0.035113078,0.040178568,0.08579661,0.04330663,0.065314644,0.070916498,0.060507363,0.099503071,0.284623935,0.284623935,,0.072435655,0.059207613,0.056195837,0.111058467,0.096415422,0.069548573,0.058089652,0.039578929,0.047618327,0.086384958,0.060816749,0.075429498,0.254388755,0.05053594,0.225115583,0.341564096,0.477584378,0.477584378,,0.044537401,0.062188115,0.224640167,0.224640167,,0.261984521,0.197854218,0.280627596,0.042394175,0.108201853,0.066217511,0.303794385,0.229608148,0.254781276,0.08080936,0.024851756,0.077975499,0.415518786,0.003509671,0.391773958,0.462488007,0.573595251,0.573595251,,0.004018088,0.001185838,0.001968465,0.001968465,,0.452277222,0.374556172,0.427307194,0.013075592,0.000449884,0.000256439
Women,1970,1/1/1970,0.099978359,0.083079023,0.125159436,0.270009963,0.270009963,,0.089383741,0.166867948,0.112692276,0.123677902,0.137650938,0.090932766,0.088678299,0.078337875,0.096900667,0.151991857,0.066460759,0.113617615,0.056618307,0.051548395,0.057320646,0.185854561,0.185854561,,0.051955888,0.087500481,0.069010157,0.076294686,0.079695341,0.051786836,0.049271605,0.039596067,0.048067861,0.097513441,0.039935858,0.048675722,0.055022676,0.04951338,0.060738111,0.191569676,0.191569676,,0.053486476,0.067896547,0.057848794,0.081347114,0.077113548,0.05160635,0.04731498,0.036381514,0.039246619,0.086497194,0.043571944,0.045981046,0.211268564,0.066491948,0.175244,0.280577445,0.395650355,0.395650355,,0.056257224,0.075049108,0.224781692,0.224781692,,0.209223559,0.208187951,0.247219846,0.054772525,0.149438257,0.080659945,0.315629117,0.184931507,0.183041983,0.114280292,0.035759159,0.079792379,0.41398138,0.015201183,0.397159507,0.423209737,0.487603306,0.487603306,,0.018092929,0.006234189,0.004911591,0.004911591,,0.486902529,0.386326721,0.382992713,0.047126251,0.005124914,0.003840572
Women,1980,1/1/1980,0.161973332,0.122494185,0.189295852,0.295248005,0.295248005,,0.1414636,0.29672235,0.156979043,0.202545504,0.214126687,0.149178335,0.1371807,0.129771926,0.179852435,0.2735697,0.126944528,0.120090444,0.060850683,0.053063004,0.05936245,0.142684842,0.142684842,,0.049931653,0.128750505,0.075557847,0.072548741,0.091575526,0.054152239,0.05298086,0.037932655,0.058478293,0.116475049,0.048085918,0.030724393,0.046066827,0.040999639,0.045045045,0.132544335,0.132544335,,0.040705835,0.078861402,0.064248705,0.06523337,0.070552089,0.040501377,0.039453812,0.027587505,0.038523741,0.08178484,0.037808446,0.026859154,0.229921901,0.121383358,0.170376032,0.267115776,0.370893258,0.370893258,,0.098688312,0.1311708,0.244968209,0.244968209,,0.220042374,0.295733126,0.216645217,0.093707917,0.297373838,0.132018754,0.380018544,0.229245375,0.143715857,0.233153204,0.066154269,0.098654014,0.414249025,0.038973267,0.385418596,0.419607443,0.466796544,0.466796544,,0.046223196,0.029090513,0.01299561,0.01299561,,0.548892881,0.398501367,0.30596028,0.115629915,0.017400612,0.010136192
Women,1990,1/1/1990,0.244481433,0.211284735,0.229634404,0.331938744,0.329470101,0.340727738,0.205900738,0.464069348,0.240643873,0.295524225,0.310523653,0.227182714,0.217867397,0.194762327,0.263771362,0.379915605,0.206403227,0.185201432,0.097162709,0.089188315,0.081764022,0.13130476,0.119050542,0.15268904,0.078088949,0.216328505,0.110937572,0.113038149,0.130795628,0.089896738,0.08428739,0.072305069,0.106340099,0.176726794,0.084295121,0.043308422,0.054240036,0.049785374,0.042390254,0.085363822,0.064739757,0.115529772,0.044094672,0.114727902,0.073679841,0.066510566,0.080531446,0.049863444,0.045697387,0.037342401,0.054270738,0.097739846,0.047644016,0.023927952,0.284600639,0.207206445,0.222937817,0.268011912,0.392744029,0.395081018,0.383892125,0.203653733,0.184625027,0.251918097,0.240408617,0.289805953,0.261584635,0.435495085,0.278700739,0.14816418,0.486852873,0.219639968,0.463356933,0.283984413,0.199185816,0.345933635,0.122536577,0.164383587,0.493255763,0.083856348,0.472161127,0.475372288,0.529580059,0.531615116,0.522729242,0.1066564,0.073028913,0.025815504,0.026134257,0.024573328,0.618160841,0.498826072,0.378077438,0.229349099,0.039402368,0.024095011
Women,2000,1/1/2000,0.297561061,0.273794112,0.277418339,0.350606023,0.350280168,0.351536704,0.255643588,0.525104114,0.263657897,0.357007428,0.371033567,0.281795483,0.268438765,0.251525547,0.319104615,0.472569763,0.25896748,0.196697589,0.133990851,0.137683416,0.118424081,0.147907327,0.13929893,0.166730558,0.103563367,0.308174244,0.133271407,0.151965161,0.168592847,0.123949566,0.123451326,0.107443402,0.144535947,0.248283624,0.113752546,0.058679212,0.079621552,0.077674239,0.066262946,0.098271173,0.089121217,0.111350875,0.064102818,0.179478056,0.088852944,0.096141671,0.10746452,0.075293425,0.069136664,0.062319144,0.085098209,0.146308083,0.070737819,0.030549152,0.332377127,0.261590962,0.291931571,0.308385193,0.393871692,0.396731744,0.385139939,0.261617469,0.237406265,0.28954936,0.281973179,0.309313666,0.297631922,0.515851624,0.312841254,0.203476309,0.534491347,0.236079606,0.560187604,0.334121389,0.206953186,0.431092992,0.16671931,0.180493449,0.532432688,0.127180369,0.523237393,0.527077752,0.542124081,0.550768821,0.519428828,0.161440677,0.126738078,0.048958599,0.052013848,0.038919427,0.681255496,0.540823212,0.379184557,0.316253315,0.076837252,0.035578844
Women,2001,1/1/2001,0.306707465,0.289424176,0.288481948,0.346787733,0.348749389,0.341366505,0.26100751,0.54924717,0.279352082,0.361475673,0.38392709,0.289773547,0.277949469,0.259745394,0.32842014,0.48218633,0.277087473,0.190241607,0.136650095,0.140650045,0.12126835,0.148798025,0.139100498,0.170393797,0.103988289,0.317596603,0.135155442,0.149617043,0.163691453,0.129362784,0.128453655,0.11175699,0.145986122,0.25863005,0.119667384,0.048023418,0.082189108,0.079690663,0.0709931,0.09819193,0.091546337,0.108414232,0.064704499,0.192695132,0.090610806,0.093125324,0.105242181,0.074394397,0.074430332,0.064467212,0.09332673,0.156077187,0.074259891,0.02414598,0.353304943,0.255211566,0.325163052,0.328206135,0.405423931,0.411076754,0.388997873,0.260835143,0.235746831,0.2662841,0.260453389,0.281353046,0.309406444,0.555268305,0.331370964,0.202298627,0.540753318,0.241552184,0.571256508,0.358891887,0.219041593,0.434166899,0.170122525,0.143937774,0.532907435,0.146143063,0.528431199,0.531286856,0.536651865,0.547585653,0.508906211,0.18754747,0.146520304,0.053880717,0.059409739,0.036325735,0.680149551,0.556518721,0.363888911,0.348580465,0.092702396,0.040774073
Women,2002,1/1/2002,0.310739091,0.294082227,0.296704412,0.3447053,0.350206503,0.329906464,0.267541773,0.544823258,0.27701564,0.360498988,0.388883521,0.298744452,0.283551261,0.240519511,0.334781264,0.489172024,0.279287659,0.194505214,0.139651907,0.143518938,0.124775408,0.151139133,0.145175863,0.164272052,0.104618142,0.326933307,0.143533509,0.14854385,0.179610185,0.124315121,0.130643522,0.106267363,0.1551673,0.261987939,0.120594881,0.054674373,0.084953045,0.082085444,0.072405992,0.103005296,0.093066534,0.118144548,0.066638074,0.196301639,0.09880943,0.11175174,0.108332653,0.076743966,0.076668202,0.065455694,0.093404346,0.155013316,0.078927092,0.026878347,0.351202391,0.269134441,0.320699205,0.334579077,0.395253261,0.404481698,0.368925005,0.274508661,0.249911957,0.28060229,0.278874181,0.284926695,0.311611837,0.542380162,0.319798152,0.217890036,0.547738992,0.245265685,0.583342035,0.358662715,0.214275927,0.444728284,0.181839292,0.164132791,0.534838813,0.153140121,0.536948886,0.533827758,0.53421737,0.54652823,0.50294586,0.191148379,0.163471611,0.056534219,0.063251683,0.036757021,0.691894008,0.548788181,0.374478049,0.355790779,0.101326651,0.041603966
Women,2003,1/1/2003,0.317093375,0.305289125,0.294377956,0.35327173,0.357115979,0.343539533,0.271263084,0.557025171,0.290981839,0.396641854,0.39841122,0.30347778,0.284771844,0.262937853,0.339050612,0.502974814,0.287215906,0.190392892,0.141589251,0.150826194,0.125931762,0.146188329,0.138074363,0.163768064,0.107291719,0.336287273,0.135714711,0.151437741,0.176466599,0.129465404,0.134780552,0.104664742,0.153136136,0.270354744,0.122623027,0.050704643,0.089502822,0.088152253,0.079175009,0.102904175,0.097392465,0.11186943,0.070084963,0.221510486,0.091287431,0.10086458,0.120511532,0.084919809,0.080473437,0.065146537,0.094197334,0.168716894,0.080516832,0.028187319,0.359810163,0.272836219,0.34538718,0.325934657,0.404877208,0.410965942,0.38881574,0.274958697,0.256475991,0.286330638,0.285383648,0.288605955,0.316847481,0.551083031,0.351346596,0.21928263,0.564183872,0.247233561,0.590127225,0.375355884,0.212883015,0.463041258,0.17773832,0.154679594,0.545898828,0.155580608,0.548132725,0.53897235,0.54861965,0.558218406,0.525542862,0.198928469,0.158567549,0.062706703,0.068760932,0.04611842,0.697160325,0.565646909,0.375427315,0.370658945,0.103266281,0.036171814
Women,2004,1/1/2004,0.324482085,0.32148668,0.301515449,0.349911374,0.354617464,0.338263905,0.277179528,0.576915633,0.298135064,0.398896079,0.406701397,0.31119395,0.298414365,0.251539114,0.343888399,0.515922546,0.296704201,0.188011137,0.143622619,0.154408026,0.129264868,0.144708561,0.136014835,0.163516463,0.107829901,0.331760266,0.150155211,0.159847139,0.178543106,0.129938832,0.134858873,0.114094332,0.156972509,0.277553988,0.12117623,0.048852895,0.093835642,0.09525795,0.081963207,0.104911959,0.097241715,0.117372456,0.073335449,0.21984547,0.101621304,0.106557392,0.128414239,0.087487984,0.083659731,0.072487327,0.099290599,0.178300158,0.084118067,0.027211206,0.364151221,0.283997224,0.346570229,0.340065556,0.401060114,0.410389762,0.376491863,0.303280291,0.255691957,0.284622769,0.28050729,0.294054719,0.321478706,0.569773198,0.344957241,0.227984138,0.585183027,0.261807942,0.602891193,0.384457737,0.206819506,0.4769869,0.189875829,0.158149932,0.554492343,0.162927477,0.56758385,0.552079174,0.548791523,0.56524768,0.511322274,0.218685327,0.160362741,0.061583086,0.066898492,0.046653581,0.722443276,0.571401696,0.374178563,0.381011915,0.109908568,0.038241648
Women,2005,1/1/2005,0.335691775,0.334629164,0.315064192,0.356678564,0.362495342,0.342217712,0.289872074,0.581861699,0.306704618,0.406123819,0.419251898,0.317244482,0.309910152,0.293857071,0.351096096,0.529956865,0.306078426,0.197992684,0.149016512,0.160968397,0.135717257,0.147526256,0.139585118,0.163560734,0.115065431,0.339056464,0.146866317,0.172024699,0.187155617,0.134515319,0.138062615,0.125281372,0.162007175,0.283481009,0.12997167,0.048913104,0.097715996,0.098308305,0.084964913,0.111244611,0.103627447,0.123876363,0.075387201,0.235081261,0.102297468,0.103673542,0.124036492,0.0927822,0.090648857,0.076312489,0.10402128,0.187038128,0.087826526,0.028153928,0.379886369,0.291385135,0.367749164,0.353685702,0.413754479,0.423600258,0.38789823,0.311825299,0.269466385,0.282526191,0.280214127,0.287888964,0.337337774,0.579595487,0.366848944,0.236829246,0.584349071,0.263837685,0.620986661,0.398449996,0.221710424,0.490641989,0.193683594,0.16173233,0.564723791,0.168424001,0.578911498,0.562429885,0.557736992,0.573600822,0.520896451,0.222868105,0.171352168,0.061121174,0.066935955,0.045081762,0.715931856,0.581582554,0.391673199,0.399884758,0.11230945,0.038352176
Women,2006,1/1/2006,0.36221284,0.364007036,0.343571619,0.378247901,0.387660293,0.355282528,0.315571754,0.61537291,0.329933144,0.426571784,0.449492702,0.345796548,0.333541296,0.314941944,0.383993079,0.54543904,0.327685547,0.247916824,0.165491195,0.184254031,0.147119414,0.160481404,0.155200883,0.171168179,0.125769132,0.373529833,0.160899939,0.181274798,0.20729159,0.152345065,0.153627777,0.139522104,0.179066538,0.300371167,0.143648683,0.07427808,0.106485372,0.114041082,0.087835783,0.116169175,0.110771919,0.125567498,0.082111739,0.251556421,0.116333446,0.115253899,0.138032938,0.098614381,0.09946287,0.088771988,0.110084849,0.195255217,0.09220497,0.046036028,0.402046351,0.321347074,0.393716008,0.380153481,0.428822118,0.442202705,0.394050443,0.34297951,0.300255239,0.309506495,0.310283207,0.307762535,0.360200825,0.603424093,0.386792587,0.264335465,0.627972085,0.286706656,0.628088835,0.412893243,0.259840792,0.506713305,0.220621123,0.23054901,0.589628013,0.180332294,0.604397172,0.597336936,0.575285402,0.592370338,0.535332555,0.234823424,0.184560845,0.070865084,0.078293831,0.051468249,0.72777744,0.596606668,0.455759803,0.408002588,0.125309723,0.049043127
